ID,Type,Location_Name,Zone,Sem_Unlocked,Cost_Time,Cost_Health,Cost_Study,Cost_Social,Cost_Money,Cost_Stress,Reward_Health,Reward_Study,Reward_Social,Reward_Money,Reward_Stress,Reward_Algo,Reward_POR,Reward_Res,Reward_Prod,Condition_Trigger,Condition_Effect,Flavor_Text
LOC_001,LOCATION,LHC,Academic,1,3,0,0,0,0,1,0,4,2,0,0,0,0,0,0,Exam_Week,#ERROR!,"The fluorescent hum never stops. You are one of two hundred people in this hall, each convinced the others understand the material better than they do."
LOC_002,LOCATION,NCL,Academic,1,3,1,0,0,0,1,0,4,0,0,0,0,0,0,0,Exam_Week,#ERROR!,The New Classroom Complex smells of chalk and quiet desperation. Professors pace the stage like they are lecturing to the void. You take notes and wonder if any of this will stick.
LOC_003,LOCATION,CCD / Subway,Academic,1,2,0,0,0,2,0,0,2,2,0,0,0,0,0,0,Has Card: Study Group Friend,-1 Stress,The only place on campus where failure feels casual. You split a sandwich and pretend the assignment does not exist for exactly forty minutes. It helps more than it should.
LOC_004,LOCATION,Project Lab,Academic,1,2,0,0,0,0,1,0,1,2,0,0,1,0,0,1,Has Card: Lab Partner,#ERROR!,"The machines do not care about your GPA. Here, something either works or it does not. The first time your circuit powers on, you feel, briefly, like you belong here."
LOC_005,LOCATION,PKK Library,Academic,1,3,1,0,2,0,1,0,4,0,0,0,0,0,0,0,Exam_Week,#ERROR!,Seven floors of silence and the faint sound of someone crying in the stairwell. PKK is where hope goes to either survive or calcify into something harder.
LOC_006,LOCATION,Lab Session,Academic,3,2,0,0,0,0,1,0,2,1,0,0,0,0,1,0,Has Card: Lab Partner,-1 Stress,Three hours to do what the manual says takes one. Your partner reads the circuit diagram upside down. By the end you have both learned something the syllabus never mentions.
LOC_007,LOCATION,Work / TA,Academic,1,2,0,0,0,0,1,0,0,0,3,0,0,0,0,1,Stress >= 4,#ERROR!,You are paid to explain what you yourself are only beginning to understand. The juniors look at you like you have answers. You smile and check your own notes after they leave.
LOC_008,LOCATION,Research Labs,Academic,5,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,Has Card: Professor Mentor,#ERROR!,The lab runs on grant deadlines and stale coffee. Your name will appear on a paper no one outside this building will ever read. It still feels like the most meaningful thing you have done.
LOC_009,LOCATION,Hostel Wing,Hostel,1,2,0,0,0,0,1,1,0,3,0,1,0,0,0,0,Has Card: Wing Mate,-2 Stress,"Three in the morning, someone knocks and asks if you want Maggi. You say yes. The deadlines are real but so is this, and right now this feels more real than anything else."
LOC_010,LOCATION,Hall Canteen,Hostel,1,1,0,0,0,1,0,1,0,2,0,1,0,0,0,0,Has Card: Mess Friend,-1 Stress,The dal is always the same. The conversation never is. You eat quickly and stay for an hour anyway.
LOC_011,LOCATION,Rest & Sleep,Hostel,1,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,Stress >= 5,#ERROR!,"You set four alarms and sleep through all of them. The dreams are about submission portals timing out. Still, you wake up less broken than you were."
LOC_012,LOCATION,Sports Complex,Health,1,2,0,0,0,0,0,2,0,2,0,2,0,0,0,0,Stress >= 3,-2 Stress,The basketball court does not care about your CGPA. For an hour you are just someone who is trying to make a shot. It is the most honest thing you will do all week.
LOC_013,LOCATION,SAC / Auditorium,SAC,1,2,0,0,0,1,0,0,0,3,0,1,0,1,0,0,Has Card: Club Member,#ERROR!,Rehearsal runs until midnight. The performance lasts forty minutes. No one who was not there will understand why it mattered. That is exactly why it did.
LOC_014,LOCATION,Health Centre,Health,1,3,0,0,0,0,0,3,0,0,0,2,0,0,0,0,Health <= 2,#ERROR!,The doctor has seen every variety of exhaustion this institution produces. She does not judge. She prescribes rest with the gravity of someone who knows it will not happen.
LOC_015,LOCATION,Core Dept Building,Academic,4,3,0,0,0,0,2,0,2,1,0,0,1,0,0,1,CGPA >= 8,#ERROR!,The department smells like old whiteboard markers and the anxiety of students who chose correctly and those who did not. Every corridor is a proof that specialisation costs something.
LOC_016,LOCATION,Start-up Incubation Centre,Academic,5,3,0,0,0,0,2,0,0,1,0,0,0,1,0,2,Has Card: Co-founder,#ERROR!,"The idea sounds better at night. In the morning, the pitch deck still needs three more slides and nobody agrees on the business model. You stay anyway. This might be the thing."
LOC_017,LOCATION,Student Senate Office,SAC,3,2,0,0,0,0,1,0,0,2,0,0,0,2,0,0,Has Card: Elected Senator,#ERROR!,"The meetings go two hours past their scheduled end. Nothing is simple, everyone has a constituency, and somehow, by the end, something gets decided. This is how things move."
LOC_018,LOCATION,Night Canteen (Gol Dhaba),Hostel,2,1,0,0,0,1,0,1,0,2,0,1,0,0,0,0,Stress >= 4,-2 Stress,"One in the morning, after the library closes and before the birds start. You eat a paratha and talk about everything except the thing that is actually wrong. It helps exactly that much."
LOC_019,LOCATION,Open Air Theatre (OAT),SAC,2,2,0,0,0,0,0,1,0,3,0,1,0,1,0,0,Has Card: Club Member,-1 Stress,"The night smells like damp grass and cheap speakers. The act is terrible or transcendent, you cannot tell which. You feel something unlock in you that no elective ever could."
LOC_020,LOCATION,Placement Cell / CDC,Academic,6,2,0,0,0,0,2,0,1,1,0,0,0,0,0,1,Exam_Week,#ERROR!,The wall has names and companies and numbers. You scan it for someone like you and find no one. Then you put your head down and start drafting the cover letter anyway.
